log(M1),log(GNP),rs,rl
6.111245585,7.249072901,0.0108,0.026133333
6.115892125,7.245084291,0.008133333,0.025233333
6.129268051,7.257002707,0.0087,0.0249
6.14117682,7.271564712,0.010366667,0.025666667
6.151881269,7.292745534,0.0126,0.027466667
6.159306783,7.303641321,0.015133333,0.028166667
6.162472344,7.316880348,0.018633333,0.029266667
6.161840033,7.325609985,0.023466667,0.0289
6.164156555,7.323632657,0.0238,0.028866667
6.15888395,7.328174679,0.025966667,0.0299
6.149962905,7.328896866,0.025966667,0.031266667
6.147399349,7.33992723,0.030633333,0.033
6.141392036,7.348136979,0.0317,0.032733333
6.133831788,7.347557399,0.031566667,0.034333333
6.124902185,7.353402177,0.0338,0.0363
6.115892125,7.33778291,0.033433333,0.035333333
6.103676538,7.317278807,0.018366667,0.032566667
6.108358299,7.322642526,0.0102,0.031533333
6.11853763,7.34601021,0.0171,0.0357
6.127960292,7.369411667,0.027866667,0.037533333
6.140100046,7.381750929,0.028,0.039166667
6.144829204,7.400620577,0.0302,0.0406
6.148681948,7.396028498,0.035333333,0.041566667
6.131226489,7.404522545,0.043,0.041666667
6.129485845,7.421536531,0.039433333,0.042233333
6.121834698,7.4186609,0.0309,0.041066667
6.130138942,7.419620362,0.023933333,0.0383
6.122273487,7.411012333,0.0236,0.039066667
6.126869184,7.421357046,0.023766667,0.038266667
6.134482054,7.43372564,0.023266667,0.038033333
6.135997698,7.44792609,0.023233333,0.039733333
6.142897251,7.470167154,0.024766667,0.040066667
6.147185422,7.483188172,0.0274,0.0406
6.149536102,7.493539941,0.027166667,0.0389
6.14525802,7.502793366,0.028566667,0.0398
6.147827065,7.501137371,0.028033333,0.038766667
6.156767099,7.514581753,0.0291,0.039133333
6.162893663,7.528331767,0.029433333,0.0398
6.16898292,7.545653985,0.0328,0.040133333
6.173577749,7.552814549,0.034966667,0.041066667
6.177736624,7.574917763,0.035366667,0.041566667
6.183736435,7.583451066,0.0348,0.041633333
6.197054939,7.593474944,0.035066667,0.041433333
6.20576915,7.597747488,0.036866667,0.0414
6.211202305,7.619184323,0.039,0.0415
6.209796541,7.633563242,0.0388,0.041433333
6.218002331,7.649359235,0.0386,0.041966667
6.230087669,7.672106219,0.041566667,0.0435
6.237933924,7.691702484,0.046333333,0.045566667
6.237933924,7.694301724,0.045966667,0.045833333
6.226931848,7.704496416,0.0505,0.0478
6.220788957,7.709398056,0.0458,0.046966667
6.228708223,7.715034394,0.045266667,0.0444
6.235978124,7.72099394,0.036566667,0.0471
6.249975242,7.735302225,0.043466667,0.049333333
6.256325692,7.740925237,0.047866667,0.0533
6.257475999,7.752464076,0.050633333,0.052433333
6.264159877,7.769336361,0.055066667,0.053033333
6.269664304,7.777080182,0.052266667,0.050733333
6.280021237,7.776115477,0.0558,0.0542
6.285066562,7.790075491,0.0614,0.058833333
6.278146119,7.791440171,0.0624,0.059133333
6.268338421,7.796962542,0.070466667,0.061366667
6.2599638,7.792968055,0.073166667,0.065333333
6.256517501,7.786800945,0.0726,0.065633333
6.250168274,7.785928689,0.067533333,0.0682
6.252674299,7.798030524,0.063833333,0.0665
6.256133845,7.788957548,0.0536,0.062666667
6.262826671,7.815449164,0.0386,0.058233333
6.274385302,7.81536847,0.042066667,0.058833333
6.280583087,7.820479659,0.0505,0.0575
6.285066562,7.820439515,0.042333333,0.0552
6.2963724,7.842121658,0.034333333,0.0565
6.305910257,7.861380331,0.037466667,0.056566667
6.317886448,7.871730802,0.0424,0.056266667
6.332391134,7.890320524,0.0485,0.0561
6.337179651,7.913521017,0.0564,0.061
6.328115339,7.916078096,0.0661,0.062266667
6.320948134,7.915092569,0.0839,0.065966667
6.30718728,7.923999937,0.074633333,0.063
6.295450486,7.918410289,0.076033333,0.066366667
6.278146119,7.921245314,0.082666667,0.0705
6.259198982,7.908129773,0.082833333,0.0727
6.238129293,7.899301895,0.073333333,0.069733333
6.225152312,7.879556401,0.0587,0.067033333
6.228116448,7.889683927,0.054,0.069733333
6.225548038,7.906510399,0.063333333,0.070933333
6.216606101,7.920337527,0.056833333,0.072233333
6.218998447,7.938944891,0.049533333,0.0691
6.225548038,7.943392268,0.051666667,0.068866667
6.219794625,7.947537169,0.0517,0.0679
6.225152312,7.957457396,0.046966667,0.0655
6.230678279,7.971085754,0.046233333,0.070133333
6.229890722,7.987082806,0.048266667,0.070966667
6.233233563,8.006967388,0.054733333,0.069766667
6.240275845,8.004398965,0.061366667,0.0716
6.241639437,8.01317766,0.0641,0.0758
6.242417799,8.044273314,0.064833333,0.0785
6.239300711,8.052805762,0.073166667,0.079333333
6.233822317,8.065139494,0.0868,0.081966667
6.221186414,8.065170924,0.0936,0.084366667
6.206777519,8.064290504,0.093733333,0.084366667
6.20899236,8.073215919,0.0963,0.084833333
6.189495398,8.071312256,0.11803333,0.096066667
6.161207322,8.081289494,0.1346,0.1115
6.1119107,8.057377489,0.1005,0.10016667
6.141822329,8.058042456,0.092366667,0.10433333
6.142682359,8.070656058,0.1371,0.1164
6.120956542,8.089819841,0.14366667,0.1201
6.117436187,8.086471812,0.1483,0.12656667
6.106800146,8.090892523,0.15086667,0.136
6.102782283,8.076919224,0.12023333,0.1323
6.1119107,8.061613042,0.12893333,0.13446667
6.102782283,8.064605029,0.1236,0.12943333
6.10724558,8.056585284,0.097066667,0.122
6.141822329,8.058105763,0.079333333,0.1034
6.164997598,8.066709797,0.0808,0.10436667
6.182704549,8.088960866,0.0842,0.10346667
6.201725473,8.103615263,0.091866667,0.1126
6.207382053,8.121212959,0.087933333,0.11323333
6.209595557,8.146622142,0.091333333,0.11543333
6.215407779,8.159946656,0.098433333,0.12686667
6.217603607,8.166386709,0.10343333,0.1234
6.218998447,8.170525154,0.089733333,0.11373333
6.23636959,8.182419511,0.081833333,0.11426667
6.250361268,8.188466878,0.075233333,0.10913333
6.280208556,8.198584448,0.071033333,0.1059
6.297477576,8.205873949,0.071466667,0.1008
6.316081067,8.221290758,0.068866667,0.089033333
6.357495586,8.219218329,0.0613,0.079466667
6.393590754,8.221828349,0.055333333,0.078866667
6.429719478,8.225422773,0.0534,0.0784
6.448731154,8.236605891,0.055333333,0.076366667
6.453309989,8.248790734,0.057333333,0.085766667
6.445878537,8.259794578,0.060333333,0.090833333
6.446513155,8.274611946,0.060033333,0.0924
